"Site","bracket","year","n_members","n_draws","P_exceed_naive","P_exceed_corrected","frac_temp_extrap"
"FH","high",2070,11,22000,0,0,1
"FH","high",2071,11,22000,0,0,1
"FH","high",2072,11,22000,0,0,1
"FH","high",2073,11,22000,0,0,1
"FH","high",2074,11,22000,0,0,1
"FH","high",2075,11,22000,0,0,1
"FH","high",2076,11,22000,0,0,1
"FH","high",2077,11,22000,0,0.00154545454545455,1
"FH","high",2078,11,22000,0,0.00222727272727273,1
"FH","high",2079,11,22000,0,0.00363636363636364,1
"FH","high",2080,11,22000,0,0.00331818181818182,1
"FH","high",2081,11,22000,0,0.00295454545454545,1
"FH","high",2082,11,22000,0,0.00331818181818182,1
"FH","high",2083,11,22000,0,0.00254545454545455,1
"FH","high",2084,11,22000,0,0.00222727272727273,1
"FH","high",2085,11,22000,0,0,1
"FH","high",2086,11,22000,0,0,1
"FH","high",2087,11,22000,0,0,1
"FH","high",2088,11,22000,0,0,1
"FH","high",2089,11,22000,0,0,1
"FH","high",2090,11,22000,0,0,1
"FH","high",2091,11,22000,0,0,1
"FH","high",2092,11,22000,0,0,1
"FH","high",2093,11,22000,0,0,1
"FH","high",2094,11,22000,0,0,1
"FH","high",2095,11,22000,0,0,1
"FH","high",2096,11,22000,0,0,1
"FH","high",2097,11,22000,0,0,1
"FH","high",2098,11,22000,0,0,1
"FH","low",2026,10,20000,0,0,0
"FH","low",2027,10,20000,0,0,0
"FH","low",2028,10,20000,0,0,0
"FH","low",2029,10,20000,0,0,0
"FH","low",2030,10,20000,0,0,0
"FH","low",2031,10,20000,0,0,0
"FH","low",2032,10,20000,0,0,0
"FH","low",2033,10,20000,0,0,0
"FH","low",2034,10,20000,0,0,0
"FH","low",2035,10,20000,0,0,0
"FH","low",2036,10,20000,0,0,0
"FH","low",2037,10,20000,0,0,0
"FH","low",2038,10,20000,0,0,0
"FH","low",2039,10,20000,0,0,0
"FH","low",2040,10,20000,0,0,0
"FH","low",2041,10,20000,0,0,0
"FH","low",2042,10,20000,0,0,0
"FH","low",2043,10,20000,0,0,0
"FH","low",2044,10,20000,0,0,0
"FH","low",2045,10,20000,0,0,0
"FH","low",2046,10,20000,0,0,0
"FH","low",2047,10,20000,0,0,0
"FH","low",2048,10,20000,0,0,0
"FH","low",2049,10,20000,0,0,0
"FH","low",2050,10,20000,0,0,0
"FH","low",2051,10,20000,0,0,0
"FH","low",2052,10,20000,0,0,0
"FH","low",2053,10,20000,0,0,0
"FH","low",2054,10,20000,0,0,0
"FH","low",2055,10,20000,0,0,0
"FH","low",2056,10,20000,0,0,0
"FH","low",2057,10,20000,0,0,0
"FH","low",2058,10,20000,0,0,0
"FH","low",2059,10,20000,0,0,0
"FH","low",2060,10,20000,0,0,0
"FH","low",2061,10,20000,0,0,0
"FH","low",2062,10,20000,0,0,0
"FH","low",2063,10,20000,0,0,0
"FH","low",2064,10,20000,0,0,0
"FH","low",2065,10,20000,0,0,0
"FH","low",2066,10,20000,0,0,0
"FH","low",2067,10,20000,0,0,0
"FH","low",2068,10,20000,0,0,0
